RFx Type,RFQ Title,Description,Procurement Type,Delivery Terms,Department,Cost Center,Delivery Location,Item Name,Qty,Payment Terms,vendor
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00091,Vendor diversification initiative order,Indigenous,"Cost, Insurance & Freight (CIF)",Stores,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,25,50% Advance 50% on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00092,Routine consumables for daily operations,Both,Freight on Truck (FOT),Procurement,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,1000,LC (Letter of Credit),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00093,Urgent requirement for upcoming project deadline,Import,Free on Road (FOR) Destination,Procurement,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,14,Milestone-Based Payment,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00094,Plant commissioning phase requirement,Indigenous,Free on Board (FOB),DevOps,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,8,30% Advance 70% on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00095,Standard procurement for inventory build-up,Indigenous,Free on Road (FOR) Destination,Quality Assurance,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,20,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00096,Urgent requirement for upcoming project deadline,Import,Free on Road (FOR) Origin,Stores,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,11,DA (Documents against Acceptance) / DP (Documents against Payment),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00097,Emergency stock replenishment,Import,"Cost, Insurance & Freight (CIF)",Production,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,20,CAD (Cash Against Delivery / Documents),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00098,Long-term supply agreement requirement,Indigenous,Cost & Freight (C&F),Stores,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),4,Bank Guarantee (BG),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00099,Long-term supply agreement requirement,Import,Freight on Truck (FOT),Finance,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,20,Milestone-Based Payment,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00100,Pilot project trial order,Indigenous,Freight on Truck (FOT),Production,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,3,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00101,New project setup material requirement,Import,"Cost, Insurance & Freight (CIF)",Logistics,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,6,50% Advance 50% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00102,Routine consumables for daily operations,Indigenous,Ex-Works (EXW),Legal,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,10,Bank Guarantee (BG),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-PROCESSING-CHARGES-00103,Special grade material for export order,Both,Free on Road (FOR) Destination,Customer Support,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,17,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00104,Vendor diversification initiative order,Both,Cost & Freight (C&F),Customer Support,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,19,30% Advance 70% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00105,Capex purchase for facility upgrade,Both,Freight on Truck (FOT),Finance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,500,DA (Documents against Acceptance) / DP (Documents against Payment),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00106,Pilot project trial order,Both,Door Delivery,Maintenance,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,50,Milestone-Based Payment,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00107,Pilot project trial order,Indigenous,Cost & Freight (C&F),Maintenance,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,10,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00108,Capex purchase for facility upgrade,Indigenous,Freight on Truck (FOT),Engineering,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,500,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-EMERGENCY-RISK-00109,Capex purchase for facility upgrade,Import,Free on Road (FOR) Origin,Legal,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",EMERGENCY RISK SURCHARGE,12,Bank Guarantee (BG),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00110,Plant commissioning phase requirement,Indigenous,Cost & Freight (C&F),Finance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,2,RTGS / NEFT on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00111,Critical spare for plant operations,Both,Free on Road (FOR) Destination,Customer Support,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,500,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00112,Annual maintenance shutdown supplies,Import,Delivered at Place (DAP),Stores,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,5,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00113,Strategic sourcing for cost optimization,Indigenous,Door Delivery,Customer Support,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,12,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00114,Compliance-driven procurement requirement,Indigenous,"Cost, Insurance & Freight (CIF)",Marketing,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,9,PDC (Post-Dated Cheque),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00115,Long-term supply agreement requirement,Import,Free on Road (FOR) Destination,Production,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,20,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-EMERGENCY-RISK-00116,New project setup material requirement,Both,Delivered at Place (DAP),Stores,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",EMERGENCY RISK SURCHARGE,10,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00117,Strategic sourcing for cost optimization,Import,Delivered Duty Paid (DDP),Quality Assurance,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,200,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00118,Emergency stock replenishment,Import,Free on Road (FOR) Destination,Production,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,14,LC (Letter of Credit),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00119,Routine consumables for daily operations,Both,Free on Road (FOR) Origin,Maintenance,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,1000,30% Advance 70% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00120,Emergency stock replenishment,Both,Freight on Truck (FOT),Logistics,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,12,RTGS / NEFT on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00121,Critical spare for plant operations,Both,Delivered Duty Paid (DDP),Finance,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,4,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00122,Annual maintenance shutdown supplies,Both,Delivered Duty Paid (DDP),Sales,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,1000,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-SHIPPING-CLEARING-00123,Pilot project trial order,Indigenous,"Cost, Insurance & Freight (CIF)",Quality Assurance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,4,Milestone-Based Payment,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00124,Vendor diversification initiative order,Indigenous,Freight on Truck (FOT),Marketing,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,4,50% Advance 50% on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00125,Special grade material for export order,Import,Ex-Works (EXW),Sales,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,20,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00126,Pilot project trial order,Both,Delivered Duty Paid (DDP),Logistics,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,12,LC (Letter of Credit),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00127,Pilot project trial order,Both,Freight on Truck (FOT),Procurement,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,5,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00128,Special grade material for export order,Both,Door Delivery,Logistics,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,2,LC (Letter of Credit),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00129,New project setup material requirement,Both,Free on Road (FOR) Destination,Engineering,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,19,RTGS / NEFT on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00130,Standard procurement for inventory build-up,Import,Delivered at Place (DAP),Customer Support,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,1,Milestone-Based Payment,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00131,Emergency stock replenishment,Indigenous,Door Delivery,Legal,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,11,30% Advance 70% on Delivery,witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00132,Standard procurement for inventory build-up,Import,Ex-Works (EXW),Customer Support,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,11,30% Advance 70% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00133,Critical spare for plant operations,Both,Freight on Truck (FOT),Legal,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,10,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00134,Sample procurement for quality assessment,Both,Door Delivery,Procurement,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,50,25% Advance 75% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00135,Replacement for damaged equipment on site,Indigenous,Free on Road (FOR) Destination,Production,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),13,LC (Letter of Credit),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00136,Routine consumables for daily operations,Both,Free on Board (FOB),Legal,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,6,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00137,Quarterly procurement as per annual contract,Import,Free on Road (FOR) Origin,Maintenance,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,1,50% Advance 50% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00138,Long-term supply agreement requirement,Indigenous,Door Delivery,Sales,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,5,RTGS / NEFT on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00139,Sample procurement for quality assessment,Both,Free on Road (FOR) Destination,Procurement,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,12,Milestone-Based Payment,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00140,Quarterly procurement as per annual contract,Both,Delivered Duty Paid (DDP),Procurement,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,500,Bank Guarantee (BG),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00141,Critical spare for plant operations,Indigenous,Free on Road (FOR) Destination,DevOps,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,2,Bank Guarantee (BG),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00142,Capex purchase for facility upgrade,Both,Free on Board (FOB),Product Management,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,18,Milestone-Based Payment,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00143,New project setup material requirement,Indigenous,Delivered Duty Paid (DDP),Engineering,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,13,LC (Letter of Credit),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00144,New project setup material requirement,Both,Free on Road (FOR) Origin,Customer Support,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,16,RTGS / NEFT on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00145,Vendor diversification initiative order,Indigenous,Delivered at Place (DAP),Production,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,5,Bank Guarantee (BG),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-SHIPPING-CLEARING-00146,Long-term supply agreement requirement,Import,Free on Road (FOR) Destination,Production,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,3,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00147,Strategic sourcing for cost optimization,Indigenous,Delivered at Place (DAP),Sales,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),7,Bank Guarantee (BG),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00148,Quarterly procurement as per annual contract,Both,Door Delivery,Quality Assurance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,18,Bank Guarantee (BG),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00149,Sample procurement for quality assessment,Import,Delivered at Place (DAP),Maintenance,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,10,Milestone-Based Payment,witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00150,Sample procurement for quality assessment,Both,Ex-Works (EXW),Quality Assurance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,3,Bank Guarantee (BG),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00151,Replacement parts for routine maintenance,Both,Delivered Duty Paid (DDP),Engineering,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,1000,25% Advance 75% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00152,Standard procurement for inventory build-up,Both,Delivered Duty Paid (DDP),Production,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,5,30% Advance 70% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00153,Replacement for damaged equipment on site,Import,Free on Road (FOR) Origin,Production,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,18,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00154,Urgent requirement for upcoming project deadline,Import,Free on Road (FOR) Destination,Finance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),20,CAD (Cash Against Delivery / Documents),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00155,Replacement for damaged equipment on site,Import,Delivered Duty Paid (DDP),Marketing,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,50,25% Advance 75% on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CUSTOM-DUTY-00156,Routine consumables for daily operations,Both,"Cost, Insurance & Freight (CIF)",DevOps,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,6,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00157,Long-term supply agreement requirement,Both,Ex-Works (EXW),Procurement,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,10,Bank Guarantee (BG),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00158,Emergency stock replenishment,Import,Ex-Works (EXW),Maintenance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,10,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-SHIPPING-CLEARING-00159,Compliance-driven procurement requirement,Import,Free on Road (FOR) Destination,Sales,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,1,LC (Letter of Credit),pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00160,Quarterly procurement as per annual contract,Import,Delivered at Place (DAP),Sales,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,250,50% Advance 50% on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00161,Quarterly procurement as per annual contract,Both,Delivered Duty Paid (DDP),Stores,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,14,Bank Guarantee (BG),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-SHIPPING-CLEARING-00162,Capex purchase for facility upgrade,Both,Cost & Freight (C&F),Sales,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,13,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00163,Vendor diversification initiative order,Indigenous,"Cost, Insurance & Freight (CIF)",Procurement,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,13,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00164,Replacement for damaged equipment on site,Indigenous,"Cost, Insurance & Freight (CIF)",Engineering,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,13,PDC (Post-Dated Cheque),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00165,Bulk order for production line expansion,Both,Delivered at Place (DAP),Production,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,14,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00166,Sample procurement for quality assessment,Import,Delivered Duty Paid (DDP),Legal,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,20,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00167,Compliance-driven procurement requirement,Both,Ex-Works (EXW),Maintenance,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,3,Bank Guarantee (BG),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00168,Special grade material for export order,Indigenous,Free on Board (FOB),Customer Support,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,12,25% Advance 75% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00169,New project setup material requirement,Import,Ex-Works (EXW),Engineering,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,250,RTGS / NEFT on Delivery,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-CONTAINER-HANDLING-00170,Standard procurement for inventory build-up,Indigenous,Free on Road (FOR) Destination,Procurement,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,14,50% Advance 50% on Delivery,witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00171,Compliance-driven procurement requirement,Indigenous,Door Delivery,Logistics,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,10,RTGS / NEFT on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00172,Compliance-driven procurement requirement,Indigenous,Cost & Freight (C&F),Legal,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,25,50% Advance 50% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00173,Vendor diversification initiative order,Both,Free on Road (FOR) Origin,Marketing,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,15,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00174,Urgent requirement for upcoming project deadline,Both,Free on Board (FOB),Maintenance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,9,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CUSTOM-DUTY-00175,Plant commissioning phase requirement,Import,Door Delivery,Logistics,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Custom Duty,13,25% Advance 75% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00176,Plant commissioning phase requirement,Both,Ex-Works (EXW),DevOps,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,1,RTGS / NEFT on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00177,Emergency stock replenishment,Import,Delivered Duty Paid (DDP),Marketing,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,16,25% Advance 75% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-PROCESSING-CHARGES-00178,Emergency stock replenishment,Indigenous,Ex-Works (EXW),DevOps,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Processing Charges,13,30% Advance 70% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00179,Annual maintenance shutdown supplies,Import,Cost & Freight (C&F),DevOps,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,20,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00180,Strategic sourcing for cost optimization,Both,Free on Road (FOR) Origin,DevOps,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,3,Milestone-Based Payment,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-CONCRETE-BREAKING-00181,Critical spare for plant operations,Indigenous,Ex-Works (EXW),Procurement,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,25,30% Advance 70% on Delivery,kewec91896@bitmah.com
