Product Name,HSN Code,Old ERP Code / Existing Series,Item Categories (SKU),Product Description,Brand,"Country of Origin

","Model/Part Number

","Unit Price

",Currency,"Category


",Sub-Category,"Item Type

",Unit of Measure,Stock Quantity,MoQ,Reorder Level,Lead Time (Days)
HP LASER JETPRO MFP M126NW PRINTER,9954,1165,Store & Consumables,Hp Laser Jetpro Mfp M126Nw Printer used in industrial plant operations. Category: Office.,HP,India,OFC-C5S9,47367.31,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,152,1,30,18
AIR CONDITIONER-Split 2ton,9954,1166,Raw Material,Air Conditioner-Split 2Ton used in industrial plant operations. Category: General.,Standard,India,GEN-1JMV,44612.77,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,494,2,99,24
AIR CONDITIONER - WINDOW - 1.5TON,9954,1167,Heavy Duty Valves,Air Conditioner - Window - 1.5Ton used in industrial plant operations. Category: General.,Generic,India,GEN-QB90,25309.97,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,281,10,56,17
Lenovo Desktop 50T,9954,1168,CNC Machined Parts,Lenovo Desktop 50T used in industrial plant operations. Category: General.,Generic,India,GEN-RJUA,36642.96,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,77,5,15,14
LT MOTOR 4HP 960RPM,9954,1169,Raw Material - Steel,Lt Motor 4Hp 960Rpm used in industrial plant operations. Category: Electrical.,ABB,India,ELE-YDSL,105555.01,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,242,10,48,26
RESISTANCE BOX 4HP,9954,1170,Laptops & Computting,Resistance Box 4Hp used in industrial plant operations. Category: General.,OEM,India,GEN-5P2N,23321.93,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,10,50,50,11
Qubo Video Door Bell Pro,9954,1171,Store & Consumables,Qubo Video Door Bell Pro used in industrial plant operations. Category: General.,Standard,India,GEN-6MBQ,13635.51,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,287,25,57,22
AIR CONDITIONER - WINDOW - 2 TON,9954,1172,Raw Material,Air Conditioner - Window - 2 Ton used in industrial plant operations. Category: General.,OEM,India,GEN-2C51,2929.62,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,196,1,39,11
JAW CRUSHER,9954,1173,Heavy Duty Valves,Jaw Crusher used in industrial plant operations. Category: General.,Standard,India,GEN-NXNF,28027.76,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,297,50,59,22
SLIPRING MOTOR 1.8KW 2.5HP RPM-920,9954,1174,CNC Machined Parts,Slipring Motor 1.8Kw 2.5Hp Rpm-920 used in industrial plant operations. Category: Electrical.,ABB,India,ELE-EMUY,110659.53,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,395,50,79,26
Vibrating Feeder 100 TPH 1200/600(2),9954,1175,Raw Material - Steel,Vibrating Feeder 100 Tph 1200/600(2) used in industrial plant operations. Category: Service.,Contracted,India,SVC-L6TQ,3195.77,INR (₹),Construction Material,Building Hardware,Service,Nos,0,1,1,6
AIR CONDITIONER - SPLIT - 1.5TON (2),9954,1176,Laptops & Computting,Air Conditioner - Split - 1.5Ton (2) used in industrial plant operations. Category: General.,Standard,India,GEN-STE0,33979.75,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,470,5,94,17
INDUCTION MOTOR 15HP 750RPM,9954,1177,Store & Consumables,Induction Motor 15Hp 750Rpm used in industrial plant operations. Category: Electrical.,L&T,India,ELE-NYZ9,132492.92,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,466,10,93,15
TRANSFORMER 33KV 7MVA,9954,1178,Raw Material,Transformer 33Kv 7Mva used in industrial plant operations. Category: Electrical.,Siemens,India,ELE-PG8C,24881.98,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,366,2,73,21
1KL LIQUID OXYGEN STORAGE TANK,9954,1179,Heavy Duty Valves,1Kl Liquid Oxygen Storage Tank used in industrial plant operations. Category: General.,OEM,India,GEN-5TXK,48484.82,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,487,2,97,17
RESISTANCE BOX 1.80 KW 2.40 HP,9954,1180,CNC Machined Parts,Resistance Box 1.80 Kw 2.40 Hp used in industrial plant operations. Category: General.,Local,India,GEN-Q1AG,1297.42,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,437,25,87,20
DG 250KVA,9954,1181,Raw Material - Steel,Dg 250Kva used in industrial plant operations. Category: General.,Local,India,GEN-PMXM,29749.19,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,281,25,56,17
MH HOIST GEARBOX 700MM,9954,1182,Laptops & Computting,Mh Hoist Gearbox 700Mm used in industrial plant operations. Category: Mechanical.,Wendt,India,MCH-LE2F,19574.56,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,200,5,40,26
5TON ELECTRICAL WIRE ROPE HOIST,9954,1183,Store & Consumables,5Ton Electrical Wire Rope Hoist used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-BNRF,138634.92,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,103,2,21,27
3 TON ELECTRIC HOIST TROLLEY SET WITH MOTOR,9954,1184,Raw Material,3 Ton Electric Hoist Trolley Set With Motor used in industrial plant operations. Category: Electrical.,Finolex,India,ELE-ZYFJ,6364.49,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,304,2,61,21
125 KVA DG SET,9954,1185,Heavy Duty Valves,125 Kva Dg Set used in industrial plant operations. Category: General.,Local,India,GEN-NG0Y,48905.52,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,200,10,40,18
LOAD CELL 8701 45TON,9954,1186,CNC Machined Parts,Load Cell 8701 45Ton used in industrial plant operations. Category: General.,OEM,India,GEN-UEA7,38472.2,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,485,5,97,12
WEIGHBRIDGE INDICATOR FOR ANALOG LOAD CELLS,9954,1187,Raw Material - Steel,Weighbridge Indicator For Analog Load Cells used in industrial plant operations. Category: General.,Generic,India,GEN-8UTY,14918.73,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,493,25,99,20
33KV 6.5MVA RELAY METERING PANEL,9954,1188,Laptops & Computting,33Kv 6.5Mva Relay Metering Panel used in industrial plant operations. Category: Electrical.,ABB,India,ELE-307M,17024.88,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,470,1,94,16
6.5MVA FURNACE TRANSFORMER HEAT EXCHANGER,9954,1189,Store & Consumables,6.5Mva Furnace Transformer Heat Exchanger used in industrial plant operations. Category: Electrical.,Finolex,India,ELE-ULP4,67006.71,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,177,1,35,23
6.5MVA FURNACE POLLUTION ID PANEL SYSTEM,9954,1190,Raw Material,6.5Mva Furnace Pollution Id Panel System used in industrial plant operations. Category: General.,OEM,India,GEN-VH7K,1322.92,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,444,10,89,20
6.5MVA FURNACE POLLUTION FD PANEL SYSTEM,9954,1191,Heavy Duty Valves,6.5Mva Furnace Pollution Fd Panel System used in industrial plant operations. Category: General.,Generic,India,GEN-9PSW,25675.48,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,475,50,95,15
Vertical Air Receiver 3000 LTRS,9954,1192,CNC Machined Parts,Vertical Air Receiver 3000 Ltrs used in industrial plant operations. Category: General.,Standard,India,GEN-F5NN,14375.59,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,167,10,33,23
CHAIN PULLEY BLOCK 2MT,9954,1193,Raw Material - Steel,Chain Pulley Block 2Mt used in industrial plant operations. Category: General.,Generic,India,GEN-H61Q,22236.72,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,422,50,84,24
SQUIRREL CAGE INDUCTION MOTOR 315KW 1491RPM,9954,1194,Laptops & Computting,Squirrel Cage Induction Motor 315Kw 1491Rpm used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-0Q4W,21717.16,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,253,25,51,19
MOTOR 9.5 KW 1440 RPM WITH INLINE HELICAL TYPE FOOT MOUNTED GEAR BOX,9954,1195,Store & Consumables,Motor 9.5 Kw 1440 Rpm With Inline Helical Type Foot Mounted Gear Box used in industrial plant operations. Category: Electrical.,Siemens,India,ELE-7WNA,95893.14,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,222,2,44,22
MOTOR 7.5KW 1440RPM 415VOLT,9954,1196,Raw Material,Motor 7.5Kw 1440Rpm 415Volt used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-01EG,57389.08,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,31,5,6,27
MICOM RELAY AUXILIARY VOLT 30-110VDC,9954,1197,Heavy Duty Valves,Micom Relay Auxiliary Volt 30-110Vdc used in industrial plant operations. Category: Electrical.,L&T,India,ELE-LVRA,566.51,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,163,50,50,27
Primarc Property AC,9954,1198,CNC Machined Parts,Primarc Property Ac used in industrial plant operations. Category: General.,Standard,India,GEN-EYKG,45358.3,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,135,1,27,11
CCTV - Jalan WH,9954,1199,Raw Material - Steel,Cctv - Jalan Wh used in industrial plant operations. Category: General.,Local,India,GEN-S9WN,24128.2,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,454,5,91,20
HP LJ MFP 1188 FNW,9954,1200,Laptops & Computting,Hp Lj Mfp 1188 Fnw used in industrial plant operations. Category: General.,Standard,India,GEN-93N0,1073.75,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,93,25,25,10
2MT MONORAIL HOIST,9954,1201,Store & Consumables,2Mt Monorail Hoist used in industrial plant operations. Category: General.,OEM,India,GEN-L5EF,13778.98,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,335,5,67,10
DIGITAL CRANE SCALE 2TON,9954,1202,Raw Material,Digital Crane Scale 2Ton used in industrial plant operations. Category: General.,Local,India,GEN-KXCG,31475.89,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,316,2,63,18
"Monitor 18""",9954,1203,Heavy Duty Valves,"Monitor 18"" used in industrial plant operations. Category: Electrical.",Havells,India,ELE-54ZL,102879.47,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,59,25,25,23
"Monitor 22""",9954,1204,CNC Machined Parts,"Monitor 22"" used in industrial plant operations. Category: Electrical.",Havells,India,ELE-3ATN,72837.87,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,481,2,96,15
DOT MATRIX PRINTER,9954,1205,Raw Material - Steel,Dot Matrix Printer used in industrial plant operations. Category: Office.,HP,India,OFC-FHG6,49112.93,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,223,10,45,21
Music System,9954,1206,Laptops & Computting,Music System used in industrial plant operations. Category: General.,Generic,India,GEN-DEAM,34614.33,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,428,10,86,24
HP LASER JETPRO MFP M126NW PRINTER 2,9954,1207,Store & Consumables,Hp Laser Jetpro Mfp M126Nw Printer 2 used in industrial plant operations. Category: Office.,Generic,India,OFC-T8FL,59582.37,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,123,2,25,20
ESSL Biometric,9954,1208,Raw Material,Essl Biometric used in industrial plant operations. Category: General.,OEM,India,GEN-ZLH9,21355.29,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,49,1,10,22
High Carbon Ferro Manganese Sized Metal-73,9954,1209,Heavy Duty Valves,High Carbon Ferro Manganese Sized Metal-73 used in industrial plant operations. Category: Rawmat.,Vedanta,India,RM-1BD2,259172.2,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,250,1,50,35
LEAD OXIDE,9954,1210,CNC Machined Parts,Lead Oxide used in industrial plant operations. Category: General.,Local,India,GEN-BLAD,6364.92,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,115,25,25,24
TEST SAMPLE HC FERRO MANGANESE(POWDER FORM),9954,1211,Raw Material - Steel,Test Sample Hc Ferro Manganese(Powder Form) used in industrial plant operations. Category: Rawmat.,FACOR,India,RM-GMD4,471213.26,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,190,2,38,34
High Carbon Ferro Manganese Sized Metal-78,9954,1212,Laptops & Computting,High Carbon Ferro Manganese Sized Metal-78 used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-2WTC,410695.32,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,280,2,56,32
High Carbon Ferro Manganese Sized Metal-78,9954,1213,Store & Consumables,High Carbon Ferro Manganese Sized Metal-78 used in industrial plant operations. Category: Rawmat.,FACOR,India,RM-8F1A,364047.93,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,481,25,96,34
High Carbon Ferro Manganese Sized Metal - 78,9954,1214,Raw Material,High Carbon Ferro Manganese Sized Metal - 78 used in industrial plant operations. Category: Rawmat.,RINL,India,RM-SZGY,58125.63,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,204,10,41,24
High Carbon Ferro Manganese 70% Lumps 10-150mm,9954,1215,Heavy Duty Valves,High Carbon Ferro Manganese 70% Lumps 10-150Mm used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-HD9E,59606.5,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,263,5,53,32
DEMAND CONTROLLER METER,9954,1216,CNC Machined Parts,Demand Controller Meter used in industrial plant operations. Category: Electrical.,Havells,India,ELE-UBMD,42684.99,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,361,10,72,17
TWIN THROTTLE CHECK VALVE,9954,1217,Raw Material - Steel,Twin Throttle Check Valve used in industrial plant operations. Category: Mechanical.,Sandvik,India,MCH-P9Q5,67117.12,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,490,50,98,19
PILOT OPERATED CHECK VALVE MODULAR,9954,1218,Laptops & Computting,Pilot Operated Check Valve Modular used in industrial plant operations. Category: Mechanical.,FAG,India,MCH-AYYP,39247.41,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,71,2,14,20
"PAINTING BRUSH 3""",9954,1219,Store & Consumables,"Painting Brush 3"" used in industrial plant operations. Category: Construction.",JSW,India,CON-Z916,34160.28,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,111,5,22,13
"PAINTING BRUSH 2""",9954,1220,Raw Material,"Painting Brush 2"" used in industrial plant operations. Category: Construction.",Bhushan,India,CON-4PHQ,100072.47,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Nos,402,25,80,19
MS BLACK PIPE 400MM,9954,1221,Heavy Duty Valves,Ms Black Pipe 400Mm used in industrial plant operations. Category: Mechanical.,Kirloskar,India,MCH-138N,50034.11,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,258,25,52,18
UPST 100 DRY CELL BATTERY,9954,1222,CNC Machined Parts,Upst 100 Dry Cell Battery used in industrial plant operations. Category: Electrical.,ABB,India,ELE-2DJS,94329.98,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,25,1,5,25
6V DRY CELL BATTERY,9954,1223,Raw Material - Steel,6V Dry Cell Battery used in industrial plant operations. Category: Electrical.,Siemens,India,ELE-4SAG,90766.67,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,88,5,18,23
MEASURING TAPE 50MTR,9954,1224,Laptops & Computting,Measuring Tape 50Mtr used in industrial plant operations. Category: General.,Generic,India,GEN-1YTS,23407.89,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,348,10,70,17
DIGITAL VOLT METER (AUX VOLT-230),9954,1225,Store & Consumables,Digital Volt Meter (Aux Volt-230) used in industrial plant operations. Category: Electrical.,L&T,India,ELE-JM5U,142896.56,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,230,1,46,20
TRANSFORMER OIL PUMP,9954,1226,Raw Material,Transformer Oil Pump used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-LNRB,83588.65,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,462,50,92,16
SOLID STATE BUZZER AUX VOLT-230VAC,9954,1227,Heavy Duty Valves,Solid State Buzzer Aux Volt-230Vac used in industrial plant operations. Category: General.,Standard,India,GEN-QLP1,28528.99,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,347,25,69,20
SOLID STATE BUZZER AUX VOLT-30VDC,9954,1228,CNC Machined Parts,Solid State Buzzer Aux Volt-30Vdc used in industrial plant operations. Category: General.,Standard,India,GEN-S5TP,24835.62,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,325,50,65,15
"MS PIPE ID-50MM, OD-56MM",9954,1229,Raw Material - Steel,"Ms Pipe Id-50Mm, Od-56Mm used in industrial plant operations. Category: Mechanical.",Kirloskar,India,MCH-LAB4,26230.87,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,401,50,80,19
"DOUBLE SHEAVE PULLEY BLOCK 4""",9954,1230,Laptops & Computting,"Double Sheave Pulley Block 4"" used in industrial plant operations. Category: General.",Standard,India,GEN-DMNM,33129.75,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,130,50,50,14
High Carbon Ferro Manganese Sized Metal -73,9954,1231,Store & Consumables,High Carbon Ferro Manganese Sized Metal -73 used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-CZ5D,89040.72,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,29,10,10,31
"BROWN TAPE 2""",9954,1232,Raw Material,"Brown Tape 2"" used in industrial plant operations. Category: General.",Standard,India,GEN-V6KZ,29481.86,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,203,25,41,16
"CELLOTAPE 1""",9954,1233,Heavy Duty Valves,"Cellotape 1"" used in industrial plant operations. Category: General.",Local,India,GEN-V3DY,16931.18,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,425,50,85,15
High Carbon Ferro Manganese Size Metal-72,9954,1234,CNC Machined Parts,High Carbon Ferro Manganese Size Metal-72 used in industrial plant operations. Category: Rawmat.,FACOR,India,RM-WNQS,424430.38,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,440,25,88,24
OIL INJECTED ROTARY SCREW COMPRESSOR WITH AIR RECEIVER TANK,9954,1235,Raw Material - Steel,Oil Injected Rotary Screw Compressor With Air Receiver Tank used in industrial plant operations. Category: General.,Local,India,GEN-KLV3,31303.7,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,377,25,75,11
FIREWOOD,9954,1236,Laptops & Computting,Firewood used in industrial plant operations. Category: General.,Local,India,GEN-KVUQ,17496.36,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,343,5,69,18
BAMBOO,9954,1237,Store & Consumables,Bamboo used in industrial plant operations. Category: General.,Local,India,GEN-QUGP,31323.2,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,353,25,71,12
3.5 CORE X 120 SQMM ALUMINIUM ARMOURED CABLE,9954,1238,Raw Material,3.5 Core X 120 Sqmm Aluminium Armoured Cable used in industrial plant operations. Category: Electrical.,Siemens,India,ELE-XTGS,99188.77,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,147,50,50,22
4 CORE X 2.5 SQMM COPPER ARMOURED CABLE,9954,1239,Heavy Duty Valves,4 Core X 2.5 Sqmm Copper Armoured Cable used in industrial plant operations. Category: Electrical.,Polycab,India,ELE-W2QV,94088.42,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,196,10,39,16
4 CORE X 4 SQMM COPPER ARMOURED CABLE,9954,1240,CNC Machined Parts,4 Core X 4 Sqmm Copper Armoured Cable used in industrial plant operations. Category: Electrical.,ABB,India,ELE-FZLQ,47934.25,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,334,2,67,27
4 CORE X 2.5 SQMM COPPER FLEXIBLE CABLE,9954,1241,Raw Material - Steel,4 Core X 2.5 Sqmm Copper Flexible Cable used in industrial plant operations. Category: Electrical.,Schneider,India,ELE-KKFZ,35572.25,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,68,2,14,17
Extra Low Carbon - Silico Manganese - Fines,9954,1242,Laptops & Computting,Extra Low Carbon - Silico Manganese - Fines used in industrial plant operations. Category: Rawmat.,IMFA,India,RM-J4RV,220885.79,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,113,2,23,25
Extra Low Carbon - Silico Manganese - Jigging Fines,9954,1243,Store & Consumables,Extra Low Carbon - Silico Manganese - Jigging Fines used in industrial plant operations. Category: Rawmat.,FACOR,India,RM-A2KU,323925.44,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,379,10,76,33
Extra Low Carbon - Silico Manganese - Jigging Chips,9954,1244,Raw Material,Extra Low Carbon - Silico Manganese - Jigging Chips used in industrial plant operations. Category: Rawmat.,IMFA,India,RM-B6LL,36472.94,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,469,5,94,31
Extra Low Carbon - Silico Manganese - Jigging 10+prime,9954,1245,Heavy Duty Valves,Extra Low Carbon - Silico Manganese - Jigging 10+Prime used in industrial plant operations. Category: Rawmat.,RINL,India,RM-6P44,121840.37,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,277,50,55,34
TEST SIEVE MESH SIZE 3 SQMM,9954,1246,CNC Machined Parts,Test Sieve Mesh Size 3 Sqmm used in industrial plant operations. Category: General.,Local,India,GEN-SDW2,15807.83,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,387,10,77,22
High Carbon Ferro Manganese- Lump-73 Hot Cake,9954,1247,Raw Material - Steel,High Carbon Ferro Manganese- Lump-73 Hot Cake used in industrial plant operations. Category: Rawmat.,RINL,India,RM-17HD,110983.78,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,235,10,47,25
CARBOLIC ACID,9954,1248,Laptops & Computting,Carbolic Acid used in industrial plant operations. Category: General.,Generic,India,GEN-SN8L,21304.31,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,136,5,27,24
MURIATIC ACID,9954,1249,Store & Consumables,Muriatic Acid used in industrial plant operations. Category: General.,OEM,India,GEN-N03A,48346.9,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,27,50,50,20
"HOT PLATE 1500 WATT, 230 VOLT",9954,1250,Raw Material,"Hot Plate 1500 Watt, 230 Volt used in industrial plant operations. Category: Construction.",Tata Steel,India,CON-Z2JU,62199.07,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Nos,195,50,50,11
CARBON TETRACHLORIDE (CTC),9954,1251,Heavy Duty Valves,Carbon Tetrachloride (Ctc) used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-55P6,199522.91,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,164,1,33,35
"12 WINDOW ALARM ANNUNCIATOR AUX VOL-24V , DC",9954,1252,CNC Machined Parts,"12 Window Alarm Annunciator Aux Vol-24V , Dc used in industrial plant operations. Category: General.",OEM,India,GEN-L5FQ,15995.78,INR (₹),Construction Material,Bricks & Blocks,Non-Stock,Unit,218,1,44,14
Silico Manganese (50/12) Sized Metal,9954,1253,Raw Material - Steel,Silico Manganese (50/12) Sized Metal used in industrial plant operations. Category: Rawmat.,IMFA,India,RM-37SQ,421375.92,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,458,1,92,34
HYDRAULIC (SLIPPING CYLINDER) SEAL KIT,9954,1254,Laptops & Computting,Hydraulic (Slipping Cylinder) Seal Kit used in industrial plant operations. Category: Mechanical.,FAG,India,MCH-ZTMW,61025.76,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,242,50,50,14
HYDRAULIC (CLAMPING CYLINDER) SEAL KIT,9954,1255,Store & Consumables,Hydraulic (Clamping Cylinder) Seal Kit used in industrial plant operations. Category: Mechanical.,SKF,India,MCH-XGRX,330.38,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,331,5,66,19
MANGANESE ORE 40%-42%,9954,1256,Raw Material,Manganese Ore 40%-42% used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-CFT8,416157.58,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,443,25,89,31
HYDRAULIC (HOISTING CYLINDER) SEAL KIT,9954,1257,Heavy Duty Valves,Hydraulic (Hoisting Cylinder) Seal Kit used in industrial plant operations. Category: Mechanical.,Wendt,India,MCH-2LS0,19624.92,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,419,5,84,17
HIgh Carbon Ferro Manganese Slag,9954,1258,CNC Machined Parts,High Carbon Ferro Manganese Slag used in industrial plant operations. Category: Rawmat.,IMFA,India,RM-QG58,442749.01,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,20,1,4,35
High Carbon Ferro Manganese- Lump-73 Hot Cake,9954,1259,Raw Material - Steel,High Carbon Ferro Manganese- Lump-73 Hot Cake used in industrial plant operations. Category: Rawmat.,Jindal,India,RM-YX69,103141.77,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,35,10,10,30
THERMOSTAT OF MUFFLE FURNACE,9954,1260,Laptops & Computting,Thermostat Of Muffle Furnace used in industrial plant operations. Category: General.,Standard,India,GEN-WF8F,28448.7,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,377,25,75,16
AIR COMPRESSOR'S BDV KIT,9954,1261,Store & Consumables,Air Compressor'S Bdv Kit used in industrial plant operations. Category: General.,Standard,India,GEN-4SHG,47313.41,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,157,50,50,17
C- SHINE COOLER CLEANING CHEMICAL,9954,1262,Raw Material,C- Shine Cooler Cleaning Chemical used in industrial plant operations. Category: Service.,Vendor,India,SVC-E5W9,14506.88,INR (₹),Construction Material,Bricks & Blocks,Service,Nos,0,1,1,4
ASBESTOS CLOTH (6 MM),9954,1263,Heavy Duty Valves,Asbestos Cloth (6 Mm) used in industrial plant operations. Category: General.,Standard,India,GEN-G2A9,11927.18,INR (₹),Construction Material,Bitumen & Ashphalt,Non-Stock,Unit,474,2,95,15
"CARBON FREE ASBESTOS HOSE PIPE ID- 32MM, OD-48MM",9954,1264,CNC Machined Parts,"Carbon Free Asbestos Hose Pipe Id- 32Mm, Od-48Mm used in industrial plant operations. Category: Rawmat.",Jindal,India,RM-ZRAE,165006.76,INR (₹),Construction Material,Bitumen & Ashphalt,Stock Item,Meter,361,2,72,32
MICA SHEET 10 MM,9954,1265,Raw Material - Steel,Mica Sheet 10 Mm used in industrial plant operations. Category: Construction.,JSW,India,CON-01JD,12221.09,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,486,2,97,17
TOTAL HARDNESS TEST KIT,9954,1266,Laptops & Computting,Total Hardness Test Kit used in industrial plant operations. Category: General.,Local,India,GEN-978W,37462.44,INR (₹),Construction Material,Building Hardware,Non-Stock,Unit,12,5,5,18
PINION WITH SHAFT (5 TON HOIST),9954,1267,Store & Consumables,Pinion With Shaft (5 Ton Hoist) used in industrial plant operations. Category: Mechanical.,Sandvik,India,MCH-N9YE,66927.72,INR (₹),Construction Material,Building Hardware,Stock Item,Nos,307,2,61,18
PINION WITH FLANGE (3 TON HOIST),9954,1268,Raw Material,Pinion With Flange (3 Ton Hoist) used in industrial plant operations. Category: Mechanical.,FAG,India,MCH-T75E,23867.07,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,82,5,16,15
CONNECTING SHAFT (3 TON HOIST),9954,1269,Heavy Duty Valves,Connecting Shaft (3 Ton Hoist) used in industrial plant operations. Category: Mechanical.,Kirloskar,India,MCH-BE54,56111.97,INR (₹),Construction Material,Bricks & Blocks,Stock Item,Nos,154,5,31,23
